STOCKTON MAINTENANCE STATION 1690,44203.1,39616.6
SUNRISE MAINTENANCE STATION,115120.5,135950
SUSANVILLE MAINTENANCE STATION,96352.8,264363
TAFT MAINTENANCE STATION,76503.5,77273.1
TAHOE CITY MAINTENANCE STATION,102079.8,99159.6
TARZANA MAINTENANCE STATION,66714,33645
TEHACHAPI MAINTENANCE STATION,7268.6,7249.6
TEHACHAPI SAND STORAGE,7661.4,3192.5
Tejon Mtn S/S,0,0
Telegraph Maint,19241.7,18249.2
TEMPLETON MAINTENANCE STATION,44191.7,45328.8
Terminal Island Maint,35103,30015
TERMO SAND HOUSE,3936,3666
TIP TOP SAND STORAGE,3936.1,4228
Toll Bridge Region Maint,1045,20128.7
Toll Road Maint,133082.7,139175.4
TORRANCE MAINTENANCE STATION,6052.9,8148
TRACY MAINTENANCE STATION,39092.5,36289.8
TRANS BAY TERMINAL BUILDING,0,0
TRANSPORTATION LABORATORY,2217077.4,2088726.1
Tri-Bridge Yard,62263.2,57963.1
TRINITY CENTER MAINTENANCE STATION,36738,40638
TRUCKEE MAINTENANCE STATION,359680.1,364480.2
Tulare Maint,47257.4,46168.7
UKIAH MAINTENANCE STATION,116183.1,148216.6
Valencia & North Region Maint,80596.6,76813.4
VALLEJO MAINTENANCE STATION,26675.2,26288.9
VENTURA MAINTENANCE STATION,51695.3,0
VENTURA REGION OFFICE,17973.5,19620.5
VICTORVILLE MAINTENANCE STATION,54954,66955.5
Vidal Maint,37887.8,42174.4
Vincent S/S,7717.2,5454.5
VINCENT THOMAS BRIDGE MAINTENANCE STATION (Paint),0,0
Visalia Maint,76176.6,77229.8
WALNUT CREEK WEST MAINTENANCE STATION,20363.1,24188.9
Ward Road S/S,5861.4,3098
WASCO MAINTENANCE STATION,36523.7,30906
WEAVERVILLE MAINTENANCE STATION,63360,61600.2
Weed S/S,2118,382.2
WEST AVENUE MAINTENANCE STATION,18148.1,19258.8
West Bay Paint,76787.8,64045.9
WEST BAY REGION MAINTENANCE STATION,82562.7,84335.5
WEST POINT MAINTENANCE STATION,24512.7,22247.1
WEST REGION MAINTENANCE STATION,101636.7,102096.7
WEST SACRAMENTO MAINTENANCE STATION,106655,100053.6
Westborough Maint,2864.7,2586.1
Westdale Maint,82693,98355
WESTWOOD CONSTRUCTION OFFICE,64186.1,46370.8
WHITMORE MAINTENANCE STATION,284481.3,283032
Whittaker Summit S/S,0,0
WHITTIER AND EAST REGION MAINTENANCE STATION,87508.5,85319.7
WILLITS MAINTENANCE STATION,33017.5,30306.8
WILLOW CREEK MAINTENANCE STATION,17740.8,17819.1
WILLOW CREEK SAND STORAGE,3072,1068
Willow Springs Maint,0,0
WILLOW ST. ELECTRICAL CREW,61140,49656.4
WILLOWS MAINTENANCE STATION,27343.7,26141
WOODFORDS MAINTENANCE STATION,0,0
WOODLAND MAINTENANCE STATION,5114.2,2114.8
WOODSIDE MAINTENANCE STATION,57156.5,70113.3
Yerba Buena Island,0,0
YREKA MAINTENANCE STATION,80880,88279.8
YUBA ST MAINTENANCE STATION,0,0
